,Unnamed: 0,text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,umap_3d_x,umap_3d_y,umap_3d_z
29,29,"A Biden victory would ensure government-imposed thought-police courses that are anti-history, anti-free thought, anti-White, and anti-male.",https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['anti-history', 'anti-free', 'anti-White', 'anti-male']",5.540145,7.1695385,4.327905
30,30,A Biden victory would mean massive tax increases which would propel America into a depression.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,[],5.241338,7.0331807,4.5434856
31,31,A bill proposed by a group of Republican lawmakers on Wednesday that would have amended the Iowa Civil Rights Act by removing protections against discrimination for transgender people is dead,https://www.nbcnews.com/feature/nbc-out/iowa-republicans-try-ax-transgender-protections-state-law-n1126426?cid=public-rss_20200130,MSNBC,gender,left,Non-biased,Entirely factual,[],8.357454,4.838898,2.8159463
32,32,"A bipartisan group of lawmakers in Mississippi this week began to draft a resolution to change the state’s flag, as calls have grown to remove the Confederate battle emblem, according to a report.",https://www.foxnews.com/politics/mississippi-lawmakers-drafting-resolution-to-remove-confederate-emblem-from-state-flag-report?fbclid=IwAR3pY02A9gmhojpn6_17OTiwadtQLyGdNG286BB6hE7IAAKRAF8cQ9D6Cxg,Fox News,marriage-equality,,Non-biased,Entirely factual,[],6.7065296,7.441354,2.0091531
33,33,"A Black man shot in the back by police in Kenosha, Wisconsin, was left paralyzed and “fighting for his life,” his family and lawyers said on Tuesday, hours before protesters and authorities clashed for a third night of civil unrest in the lakefront town.",https://www.reuters.com/article/us-global-race-usa-wisconsin/arsonists-set-fires-as-wisconsin-city-rages-anew-over-police-shooting-of-black-man-idUSKBN25L0Q9?utm_medium=Social&utm_source=twitter,Reuters,black lives matter,center,Non-biased,Entirely factual,[],7.9759145,8.434352,1.5650259
34,34,"A Black man who was stopped on his bicycle for an alleged “vehicle code” violation was shot to death by two Los Angeles sheriff’s deputies, who fired 15 to 20 rounds after the man punched one officer and dropped a pistol on the ground, authorities said on Tuesday.",https://www.reuters.com/article/us-global-race-usa-los-angeles/l-a-sheriffs-deputies-fatally-shoot-black-man-after-suspected-bike-violation-idUSKBN25S606,Reuters,gun control,center,Non-biased,Entirely factual,[],7.799322,8.653804,1.6280607
35,35,"A Black man, Floyd died in police custody May 25 after a Minneapolis cop kneeled on his neck for more than eight minutes.",https://feeds.feedblitz.com/~/632383174/0/alternet_all~Navy-launches-probe-after-Kaepernick-jersey-used-in-dog-attack-demonstration/,Alternet,black lives matter,left,Non-biased,Entirely factual,[],8.294181,8.204983,1.4619956
36,36,A Black policewoman was injured and at least four people stabbed when a day of demonstrations in support of President Donald Trump's election delusions ended in violence Saturday night in Washington D.C. ,https://www.alternet.org/2020/12/proud-boys/,Alternet,black lives matter,left,Non-biased,Entirely factual,[],7.3909183,8.486888,1.7722874
37,37,"A bold statement Wednesday from former Secretary of Defense Gen. James Mattis eviscerating Donald Trump has landed like a bomb in the Senate Republican caucus, sending members fleeing in all different directions.",https://www.alternet.org/2020/06/republicans-are-reeling-as-trump-comes-under-fire/,Alternet,trump-presidency,left,Biased,Somewhat factual but also opinionated,"['eviscerating', 'bomb']",6.0371633,6.5963335,2.5410588
38,38,"A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance, saying abortion is worse than pedophilia.",https://www.nbcnews.com/news/us-news/priest-rhode-island-says-abortion-worse-pedophilia-which-doesn-t-n1135751?cid=public-rss_20200212,MSNBC,abortion,left,Non-biased,Somewhat factual but also opinionated,[],7.408283,5.387337,3.3498654
39,39,"A city council member in Minneapolis was quoted as claiming that there had been no looting or burning on the first night of the protest, and that police were to blame for subsequent events because they were “incredibly brutal” in response.",http://feedproxy.google.com/~r/breitbart/~3/B0iqqthw_uw/,Breitbart,black lives matter,right,Biased,Entirely factual,['claiming'],7.6712565,8.19643,1.6951839
40,40,A code that will blacklist from Oscar consideration any movie that does not meet whatever Orwellian diversity requirements are coming.,http://feedproxy.google.com/~r/breitbart/~3/zJi86C2JTWM/,Breitbart,marriage-equality,,Biased,Expresses writer’s opinion,"['Orwellian', 'blacklist']",7.716304,6.302355,3.1065013
41,41,"A cop shoots a Black man, and a police union flexes its muscle",https://www.reuters.com/investigates/special-report/usa-police-rochester-shooting/,Reuters,gun control,center,Biased,No agreement,"['flexes', 'its', 'muscle']",7.9015512,8.466366,1.6399113
42,42,A copy of the flyer also shows the union bosses’ significant support for mass illegal and legal immigration to the United States — an effort to drive up union membership.,http://feedproxy.google.com/~r/breitbart/~3/fYtI9373tMY/,Breitbart,universal health care,right,Biased,Entirely factual,['mass'],3.7475376,6.407481,2.5608444
43,43,A cursory Twitter search reveals that accounts supporting the Antifa terrorist movement can easily be found on the platform.,http://feedproxy.google.com/~r/breitbart/~3/dmXi2DTfQrU/,Breitbart,marriage-equality,,Biased,Somewhat factual but also opinionated,"['Antifa', 'terrorist']",7.1082773,7.1682134,2.6830509
44,44,"A Democratic National Convention like no other began on Monday, with politicians trading raucous cheers in a crowded arena for speeches delivered from quiet locations across the country because of the coronavirus pandemic.",https://www.reuters.com/article/us-usa-election-convention-takeaways/five-takeaways-from-the-first-virtual-democratic-national-convention-idUSKCN25E07S,Reuters,black lives matter,center,Biased,Entirely factual,['raucous'],5.7062783,5.1813784,4.212102
45,45,"A diverse group of protesters cheered to hip hop music and tried to argue about police brutality with police officers in riot gear, who occasionally lunged into crowds to pluck people out for arrest after bottles and other projectiles were thrown.",https://www.reuters.com/article/us-minneapolis-police-protests-factbox-idCAKBN2352VY?taid=5ed23930842569000110ba53&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter,Reuters,black lives matter,center,Biased,Entirely factual,[],7.3850703,8.0441065,1.630464
46,46,"A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions, handing a victory to anti-abortion advocates.",https://www.reuters.com/article/us-usa-abortion-ohio/appeals-court-says-ohio-may-withhold-planned-parenthood-funding-idUSKBN1QT23V?feedType=RSS&feedName=domesticNews,Reuters,abortion,center,Non-biased,Entirely factual,[],7.834066,5.3510637,5.3479404
47,47,A donation-based Denver yoga chain which held special classes for minorities and LGBT people was forced to shut down after community activists derided the company as an institution of white supremacy.,https://thefederalist.com/2020/06/12/welcome-to-your-new-world-order-a-rundown-of-woke-insanity-amid-the-newest-cultural-revolution/?utm_campaign=ACTENGAGE,Federalist,marriage-equality,,Biased,Somewhat factual but also opinionated,[],8.040832,5.4462385,2.6550014
48,48,"A family-run network of pro-gun groups is behind five of the largest Facebook groups dedicated to protesting the shelter-in-place restrictions, according to an NBC News analysis of Facebook groups and website registration information.",https://www.nbcnews.com/tech/social-media/conservative-activist-family-behind-grassroots-anti-quarantine-facebook-events-n1188021,MSNBC,vaccines,left,Non-biased,Entirely factual,[],7.4993052,9.66762,4.221465
49,49,"A federal judge dismissed the United States women’s soccer team’s bid for equal pay on Friday, rejecting claims the players had been underpaid in a crushing defeat for the reigning world champions.",https://www.breitbart.com/news/judge-rules-against-us-womens-soccer-team-in-equal-pay-case-2/,Breitbart,sport,right,Non-biased,Somewhat factual but also opinionated,['crushing'],8.645334,5.371774,1.4879885
50,50,"A federal judge in Tucson, Arizona delivered a blow Monday to the Trump administration’s strategy of criminalizing humanitarian aid work along the southern border with her decision to overturn the convictions of four volunteers on religious freedom grounds.",https://www.alternet.org/2020/02/judge-reverses-profoundly-disturbing-convictions-of-border-humanitarians/,Alternet,immigration,left,Biased,Somewhat factual but also opinionated,['blow'],4.5874043,6.238984,2.028499
51,51,A federal judge on Monday overturned the Trump administration’s approval of a plan by the state of New Hampshire to impose work requirements on people seeking to obtain benefits from the Medicaid health insurance program.,https://www.reuters.com/article/us-usa-healthcare-medicaid-new-hampshire/u-s-judge-blocks-medicaid-work-requirements-in-new-hampshire-idUSKCN1UO21R,Reuters,universal health care,center,Non-biased,Entirely factual,[],5.0140324,5.5241528,6.670084
52,52,"A federal judge on Wednesday temporarily blocked a Trump administration order that allowed state and local governments to refuse the resettling of refugees, finding the policy likely “unlawful.”",https://www.nbcnews.com/news/us-news/federal-judge-blocks-trump-order-allowing-local-governments-refuse-refugees-n1116426?cid=public-rss_20200115,MSNBC,immigration,left,Non-biased,Entirely factual,[],4.5292544,6.333184,2.0572
53,53,"A federal visa program allowing international students to work at firms in the United States after graduation appears to have been exploited by fake companies providing false employment verifications, according to an NBC News/NBC Bay Area investigation.",https://www.nbcnews.com/politics/immigration/thousands-foreign-students-u-s-student-visas-may-have-worked-n1109286?cid=public-rss_20200102,MSNBC,immigration,left,Non-biased,Entirely factual,[],3.4796777,6.3028865,2.7552142
54,54,"A fifth of U.S. trans people reported discrimination when seeking a home, and more than one in 10 say they have been evicted for being trans, according to the National Center for Transgender Equality.",https://www.reuters.com/article/us-usa-lgbt-transgender-trfn/calls-to-support-black-trans-women-rise-amid-u-s-protests-idUSKBN23F30A?rpc=401&,Reuters,black lives matter,center,Non-biased,Entirely factual,[],8.301486,4.967896,2.5207155
55,55,"A firefighter was killed by a falling tree while battling the Australian wildfire crisis overnight, and the prime minister on Sunday said his government was adapting and building resilience to the fire danger posed by climate change.",https://eu.usatoday.com/story/news/world/2020/01/11/australia-wildfires-firefighter-killed-death-toll-least-27/4445757002/,USA Today,environment,center,Non-biased,Entirely factual,[],2.710458,4.2222075,3.8054104
56,56,"A former Indonesian police brigadier has filed a complaint to the human rights commission claiming he was fired for being gay, his lawyers said on Monday, in what could be a test case on discrimination in the Southeast Asian country.",https://www.reuters.com/article/us-indonesia-lgbt/indonesian-ex-police-brigadier-says-he-was-fired-for-being-gay-idUSKCN1SQ0ZS,Reuters,blm,,Non-biased,Entirely factual,['claiming'],7.8613014,4.9878273,2.3738153
57,57,"A former North Korean diplomat who staged a high-profile defection to the South on Saturday urged an old colleague who has gone missing in Italy to defect to Seoul, following a report that he was seeking asylum in the United States.",http://feeds.reuters.com/~r/Reuters/worldNews/~3/W6R1JElryi4/former-north-korean-diplomat-urges-missing-colleague-in-italy-to-go-to-south-korea-not-u-s-idUSKCN1OZ05R,Reuters,international-politics-and-world-news,center,Non-biased,Entirely factual,[],5.0969577,5.212866,2.1623237
58,58,"A funeral for a Bangladeshi religious leader drew around 100,000 people in defiance of nationwide coronavirus lockdown.",https://www.foxnews.com/world/100000-attend-bangladesh-funeral-shattering-social-distance-protocols,Fox News,islam,,Non-biased,Entirely factual,[],6.710798,5.078585,1.9153574
59,59,"A gaggle of representatives from theologically liberal denominations recently issued a statement against Christian nationalism in America, claiming that it threatens both American democracy and the ability of our religious communities to live in peace.",https://thefederalist.com/2019/08/13/need-christian-nationalism-religious-neutrality-failed/,Federalist,white-nationalism,right,Non-biased,Entirely factual,[],7.3136597,5.638615,3.7478325
60,60,"A Gallup poll reports that women are still more likely to do laundry, clean the house, do grocery shopping, prepare meals, wash dishes and make decisions about furniture and decorations – even among younger generations who are reportedly more egalitarian as ever.",https://eu.usatoday.com/story/news/nation/2020/02/14/gender-equality-millennial-men-still-dont-do-laundry-house-cleaning/4748860002/,USA Today,gender,center,Non-biased,Entirely factual,[],8.60786,5.536113,2.3046072
61,61,A gay men’s group is claiming that Facebook shut down its page after transgender activists repeatedly reported the group for its stance on gender and sexual orientation.,http://feedproxy.google.com/~r/breitbart/~3/HdPPMwj-aVc/,Breitbart,marriage-equality,,Non-biased,Entirely factual,[],8.149559,5.312079,2.6823494
62,62,"A good conclusion to draw might be that the charity of the top 0.1 percent and of corporations both are vastly overstated and not even fractionally as useful as simply taxing them at the same effective rate as the rest of us pay, so maybe we should get on with that already.",https://www.alternet.org/2020/01/richest-man-in-the-world-mocked-for-donating-690000-to-fight-australian-fires-as-elton-john-pledges-1000000/,Alternet,middle-class,left,Biased,Expresses writer’s opinion,['vastly'],3.46237,5.9395094,4.96923
63,63,"A group of 20 wealthy individuals – including left-wing financier George Soros – signed a letter Monday, begging for a wealth tax and arguing that the U.S has a “moral, ethical, and economic responsibility” to tax wealthy individuals more.",https://www.breitbart.com/politics/2019/06/24/soros-linked-group-of-wealthy-individuals-pen-letter-begging-for-a-moderate-wealth-tax/,Breitbart,middle-class,right,Non-biased,Entirely factual,[],3.560307,6.275172,5.1096454
64,64,A group of artists climbed ladders up one of the many blast walls snaking through the Afghan capital Kabul this week to paint a mural of George Floyd in solidarity with the anti-racism protests kindled by his death in police custody.,https://www.reuters.com/article/us-minneapolis-police-protests-afghanist/afghan-artists-paint-mural-on-blast-wall-in-tribute-to-george-floyd-idUSKBN23I2NA,Reuters,black lives matter,center,Non-biased,Entirely factual,[],8.21583,7.672568,1.5524132
65,65,"A group of House Republicans gathered Tuesday on Capitol Hill to express their anger over two bills proposed by their Democratic colleagues that, if passed, would drastically tighten federal gun laws.",https://www.foxnews.com/politics/house-republicans-denounce-democratic-move-to-tighten-gun-laws,Federalist,gun-control,right,Non-biased,Entirely factual,['drastically'],7.601403,9.24043,4.586232
66,66,"A group of Idaho politicians, including Lt. Gov. Janice McGeachin, appeared in a video in October urging the state to limit restrictions. Sitting in a truck with an American flag draped over the side, McGeachin placed a gun over a Bible. ",https://www.alternet.org/2020/12/19/,Alternet,gun control,left,Non-biased,Entirely factual,[],7.574381,9.132205,4.392633
67,67,A group of Muslim women sued New York City after they said they were forced to remove their hijabs after arrests and be photographed with their head and hair uncovered.,http://rssfeeds.usatoday.com/~/638562238/0/usatodaycomnation-topstories~NYPD-can-no-longer-force-Muslim-women-to-remove-hijabs-in-mug-shots-settlement-says/,USA Today,islam,,Non-biased,Entirely factual,[],7.337594,5.387163,1.8066427
68,68,"A group of people carrying a white nationalist flag were caught on camera Saturday attempting to record a video in front of the Emmett Till memorial in Sumner, Mississippi.",https://www.nbcnews.com/news/nbcblk/white-nationalists-caught-trying-film-video-front-emmett-till-memorial-n1075776,MSNBC,white-nationalism,left,Non-biased,Entirely factual,[],7.2328243,7.972509,2.157183
69,69,A Guatemalan mom who says she sustained severe chemical burns and was sexually assaulted in front of her young daughter during a kidnapping in Mexico is asking the U.S. government to let her into the country while her asylum case plays out.,https://www.nbcnews.com/news/latino/after-chemical-attack-kidnapping-migrant-mom-tries-again-enter-u-n1144916?cid=public-rss_20200228,MSNBC,immigration,left,Non-biased,Entirely factual,[],4.1576166,6.5732436,1.8067871
70,70,"A gunman opened fire at the Molson Coors Beverage Co brewing complex in Milwaukee on Wednesday, killing five co-workers before he was found dead from an apparently self-inflicted gunshot wound, the city’s police chief said.",https://www.reuters.com/article/us-wisconsin-shooting/gunman-kills-five-co-workers-and-himself-in-molson-coors-brewery-shooting-in-milwaukee-idUSKCN20K37H?feedType=RSS&feedName=topNews,Reuters,gun control,center,Non-biased,Entirely factual,[],7.6858425,8.705783,1.660313
71,71,"A humanitarian ship that has had about 230 rescued migrants on board for almost a week will enter a Maltese port on Wednesday, ending a standoff with Italy which refused to let the ship dock.",https://www.reuters.com/article/us-europe-migrants-malta-lifeline/malta-to-allow-migrant-rescue-ship-to-dock-ending-standoff-idUSKBN1JN1TJ,Reuters,immigration,center,Non-biased,Entirely factual,[],4.3403335,6.3482356,1.7299981
72,72,"A Joe Biden presidency could reset ties with top U.S. trade partner Mexico that have suffered since Donald Trump made his first White House bid, tarring Mexican migrants as rapists and gun-runners and vowing to keep them out with a border wall.",https://www.reuters.com/article/us-usa-election-mexico/no-more-bullying-fresh-start-to-u-s-mexico-relations-eyed-under-biden-idUSKBN27N0NN,Reuters,gun control,center,Biased,Expresses writer’s opinion,['tarring'],4.6669984,6.5162673,2.4162407
73,73,"A key part of Warren’s revenue calculations to pay for her healthcare overhaul comes from a new tax on the wealthiest 1% of U.S. individuals, or a “wealth tax”.",https://www.reuters.com/article/us-election-warren-healthcare-exclusive/exclusive-economist-who-backed-warren-healthcare-plan-has-doubts-about-her-wealth-tax-idUSKBN1XI01T,Reuters,taxes,center,Non-biased,Entirely factual,[],3.5800328,6.5726595,5.4824834
74,74,"A laboratory in China had already successfully grown the virus but had released only the genome sequence, not the sample itself, the Australian Broadcasting Corp. reported.",https://www.reuters.com/article/us-china-health-australia/australia-scientists-claim-first-re-creation-of-coronavirus-outside-china-idUSKBN1ZR2YD?feedType=RSS&feedName=topNews,Reuters,vaccine,,Non-biased,Entirely factual,[],5.334504,2.8265777,3.876882
75,75,A lawsuit percolating through the courts attempts to weigh the religious liberty of Orthodox Jews with a dire and compelling public health interest.,https://thefederalist.com/2019/04/19/new-york-city-good-legal-case-mandating-vaccines/,Federalist,vaccines,right,Biased,Somewhat factual but also opinionated,['dire'],6.9534416,3.1295078,4.2120914
76,76,A lawyer for Breonna Taylor’s family on Friday demanded Kentucky’s state attorney general release the evidence presented to a grand jury that decided against charging police officers with homicide in her death during a botched raid.,https://www.reuters.com/article/global-race-usa-louisville/lawyer-for-breonna-taylors-family-calls-for-release-of-grand-jury-evidence-idINKCN26G2L2,Reuters,black lives matter,center,Non-biased,Entirely factual,[],7.875862,8.592242,1.7599798
77,77,A leader of a movement that urges women to brag about having an abortion promoted the procedure to children in a video from Cut’s HiHo on the YouTube channel.,https://www.breitbart.com/politics/2019/01/01/watch-feminist-promotes-abortion-to-children/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,abortion,right,Biased,Somewhat factual but also opinionated,"['urges', 'brag']",8.089578,5.463985,5.2826114
